#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV100	species	Paracalanus sp. C AC-2013	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013	best hit
ASV1000	species	Muggiaea atlantica	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Muggiaea	Muggiaea atlantica	best hit
ASV1001	species	Nanomia bijuga	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	Nanomia	Nanomia bijuga	best hit
ASV1004	species	alpha proteobacterium HIMB59	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	unknown genus	alpha proteobacterium HIMB59	best hit
ASV1005	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1006	species	Formosa sp. Hel3_A1_48	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	Formosa sp. Hel3_A1_48	best hit
ASV1007	species	Chthamalus fragilis	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Chthamalidae	Chthamalus	Chthamalus fragilis	best hit
ASV1008	species	Tomopteris sp. USNM IZ 1409101	Eukaryota	Annelida	Polychaeta	Phyllodocida	Tomopteridae	Tomopteris	Tomopteris sp. USNM IZ 1409101	best hit
ASV1009	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV101	genus	Trieres	Eukaryota	Bacillariophyta	Mediophyceae	Eupodiscales	Parodontellaceae	Trieres	no identification	lca
ASV1011	species	Nanomia bijuga	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	Nanomia	Nanomia bijuga	best hit
ASV1012	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1014	genus	unknown genus	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	unknown genus	no identification	lca
ASV1015	species	Chthamalus dalli	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV1016	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
