sample_ID,ASV Table,Site,Group-Analyses,WaterType,Region,Region2,Habitat,Location,Description,Partner,year_month_day,year,month,day,lat,long,Event_ID,Treatment,Field_Blank,Extraction_Blank,PCR_Blank,Date.of.extraction,PCR_Plate,MiSeq.Run
ICOE0348,ICOE0348,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_10_1,2019,10,1,51.65,-127.9518,CalvertKC10_2019_10_1,Sample,DUMMY,ICOXN026,NEG_PLATE3,2020-02-06,3,12S_Run_ICO_Plates3&4_20210331
ICOE0349,ICOE0349,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_10_1,2019,10,1,51.65,-127.9518,CalvertKC10_2019_10_1,Sample,DUMMY,ICOXN026,NEG_PLATE3,2020-02-06,3,12S_Run_ICO_Plates3&4_20210331
ICOE0350,ICOE0350,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_10_1,2019,10,1,51.65,-127.9518,CalvertKC10_2019_10_1,Sample,DUMMY,ICOXN026,NEG_PLATE3,2020-02-06,3,12S_Run_ICO_Plates3&4_20210331
ICOE0352,ICOE0352,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_11_26,2019,11,26,51.65,-127.9518,CalvertKC10_2019_11_26,Sample,ICOE0351,ICOXN030,NEG_PLATE3,2020-04-30,3,12S_Run_ICO_Plates3&4_20210331
ICOE0353,ICOE0353,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_11_26,2019,11,26,51.65,-127.9518,CalvertKC10_2019_11_26,Sample,ICOE0351,ICOXN030,NEG_PLATE3,2020-04-30,3,12S_Run_ICO_Plates3&4_20210331
ICOE0354,ICOE0354,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_11_26,2019,11,26,51.65,-127.9518,CalvertKC10_2019_11_26,Sample,ICOE0351,ICOXN030,NEG_PLATE3,2020-04-30,3,12S_Run_ICO_Plates3&4_20210331
ICOE0195,ICOE0195,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai ,2019_7_10,2019,7,10,51.65,-127.9518,CalvertKC10_2019_7_10,Sample,ICOE0198,ICOXN020,NEG_PLATE1,2019-12-02,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0196,ICOE0196,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai ,2019_7_10,2019,7,10,51.65,-127.9518,CalvertKC10_2019_7_10,Sample,ICOE0198,ICOXN020,NEG_PLATE1,2019-12-02,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0197,ICOE0197,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai ,2019_7_10,2019,7,10,51.65,-127.9518,CalvertKC10_2019_7_10,Sample,ICOE0198,ICOXN020,NEG_PLATE1,2019-12-02,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0244,ICOE0244,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_8_8,2019,8,8,51.65,-127.9518,CalvertKC10_2019_8_8,Sample,ICOE0243,ICOXN012,NEG_PLATE1,2019-11-13,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0245,ICOE0245,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_8_8,2019,8,8,51.65,-127.9518,CalvertKC10_2019_8_8,Sample,ICOE0243,ICOXN012,NEG_PLATE1,2019-11-13,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0246,ICOE0246,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_8_8,2019,8,8,51.65,-127.9518,CalvertKC10_2019_8_8,Sample,ICOE0243,ICOXN012,NEG_PLATE1,2019-11-13,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0303,ICOE0303,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_9_4,2019,9,4,51.65,-127.9518,CalvertKC10_2019_9_4,Sample,ICOE0306,ICOXN018,NEG_PLATE1,2019-11-26,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0304,ICOE0304,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_9_4,2019,9,4,51.65,-127.9518,CalvertKC10_2019_9_4,Sample,ICOE0306,ICOXN018,NEG_PLATE1,2019-11-26,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0305,ICOE0305,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_9_4,2019,9,4,51.65,-127.9518,CalvertKC10_2019_9_4,Sample,ICOE0306,ICOXN018,NEG_PLATE1,2019-11-26,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0879,ICOE0879,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_10_1,2020,10,1,51.65,-127.9518,CalvertKC10_2020_10_1,Sample,ICOE0878,ICOXN054,NEG_PLATE7,2021-04-01,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0880,ICOE0880,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_10_1,2020,10,1,51.65,-127.9518,CalvertKC10_2020_10_1,Sample,ICOE0878,ICOXN054,NEG_PLATE7,2021-04-01,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0881,ICOE0881,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_10_1,2020,10,1,51.65,-127.9518,CalvertKC10_2020_10_1,Sample,ICOE0878,ICOXN054,NEG_PLATE7,2021-04-01,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0951,ICOE0951,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_11_1,2020,11,1,51.65,-127.9518,CalvertKC10_2020_11_1,Sample,ICOE0950,ICOXN060,NEG_PLATE8,2021-04-22,8,12S_ICO_plates8_9_10_Run20210916
