Sample_ID	Sample_ID	Treatment	Site_ID	Year	Month	Day	Lat	Lon	filtering_date	filterer_initials	volume_filtered_mL	Date	Extractor	DNA volume (_L)	Recovered TE rinse volume (_L)	Total DNA volume (_L)
JSPe-001	JSPe0001	negative_control	D09	2020	May	19	50.30743	-125.32978	19-May-20	SV	1000	Nov 12 2020	Natalie	300	50	350
JSPe-002	JSPe0002	pre_seine	D09	2020	May	19	50.30705	-125.33458	19-May-20	SV	1000	Nov 12 2020	Natalie	250	50	300
JSPe-003	JSPe0003	pre_seine	D09	2020	May	19	50.30705	-125.33458	19-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	280	50	330
JSPe-004	JSPe0004	pre_seine	D09	2020	May	19	50.30705	-125.33458	19-May-20	SV	1000	Nov 12 2020	Natalie	300	50	350
JSPe-005	JSPe0005	in_seine	D09	2020	May	19	50.3076	-125.33418	19-May-20	SV	1000	Nov 12 2020	Natalie	350	50	400
JSPe-006	JSPe0006	in_seine	D09	2020	May	19	50.3076	-125.33418	19-May-20	SV	1000	Nov 12 2020	Natalie	450	50	500
JSPe-007	JSPe0007	in_seine	D09	2020	May	19	50.3076	-125.33418	19-May-20	SV	1000	Nov 12 2020	Natalie	250	50	300
JSPe-008	JSPe0008	fixed_position	D09	2020	May	19	50.30743	-125.32978	19-May-20	SV	1000	Nov 12 2020	Natalie	450	50	500
JSPe-009	JSPe0009	fixed_position	D09	2020	May	19	50.30743	-125.32978	19-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	400	50	450
JSPe-010	JSPe0010	fixed_position	D09	2020	May	19	50.30743	-125.32978	19-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	400	50	450
JSPe-011	JSPe0011	negative_control	D10	2020	May	22			22-May-20	SV	1000	Nov 3 2020	Rosie and Rute	250	50	300
JSPe-012	JSPe0012	pre_seine	D10	2020	May	22	50.43943	-125.2699	22-May-20	SV	1000	Nov 12 2020	Natalie	250	50	300
JSPe-013	JSPe0013	pre_seine	D10	2020	May	22	50.43943	-125.2699	22-May-20	SV	1000	Nov 12 2020	Natalie	450	50	500
JSPe-014	JSPe0014	pre_seine	D10	2020	May	22	50.43943	-125.2699	22-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	280	50	330
JSPe-015	JSPe0015	in_seine	D10	2020	May	22	50.43832	-125.26855	22-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	300	50	350
JSPe-016	JSPe0016	in_seine	D10	2020	May	22	50.43832	-125.26855	22-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	300	50	350
JSPe-017	JSPe0017	in_seine	D10	2020	May	22	50.43832	-125.26855	22-May-20	SV	1000	Nov 12 2020	Natalie	250	50	300
JSPe-018	JSPe0018	fixed_position	D10	2020	May	22	50.44253	-125.27303	22-May-20	SV	1000	Nov 12 2020	Natalie	250	50	300
JSPe-019	JSPe0019	fixed_position	D10	2020	May	22	50.44253	-125.27303	22-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	400	50	450
JSPe-020	JSPe0020	fixed_position	D10	2020	May	22	50.44253	-125.27303	22-May-20	SV	1000	Nov 12 2020	Natalie	250	50	300
JSPe-021	JSPe0021	negative_control	D09	2020	May	26			26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	300	50	350
JSPe-022	JSPe0022	pre_seine	D09	2020	May	26	50.30978	-125.32045	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	250	50	300
JSPe-023	JSPe0023	pre_seine	D09	2020	May	26	50.30978	-125.32045	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	300	50	350
JSPe-024	JSPe0024	pre_seine	D09	2020	May	26	50.30978	-125.32045	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	400	50	450
JSPe-025	JSPe0025	in_seine	D09	2020	May	26	50.30945	-125.32123	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	270	50	320
JSPe-026	JSPe0026	in_seine	D09	2020	May	26	50.30945	-125.32123	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	300	50	350
JSPe-027	JSPe0027	in_seine	D09	2020	May	26	50.30945	-125.32123	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	400	50	450
JSPe-028	JSPe0028	fixed_position	D09	2020	May	26	50.30725	-125.32738	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	280	50	330
JSPe-029	JSPe0029	fixed_position	D09	2020	May	26	50.30725	-125.32738	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	450	50	500
JSPe-030	JSPe0030	fixed_position	D09	2020	May	26	50.30725	-125.32738	26-May-20	SV	1000	Nov 9 2020	Rosie & Natalie	500	50	550
JSPe-031	JSPe0031	negative_control	D27	2020	May	27			27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	230	50	280
JSPe-032	JSPe0032	pre_seine	D27	2020	May	27	50.27142	-125.37188	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-033	JSPe0033	pre_seine	D27	2020	May	27	50.27142	-125.37188	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	250	50	300
JSPe-034	JSPe0034	pre_seine	D27	2020	May	27	50.27142	-125.37188	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-035	JSPe0035	in_seine	D27	2020	May	27	50.27215	-125.37168	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	230	50	280
JSPe-036	JSPe0036	in_seine	D27	2020	May	27	50.27215	-125.37168	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-037	JSPe0037	in_seine	D27	2020	May	27	50.27215	-125.37168	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	230	50	280
JSPe-038	JSPe0038	fixed_position	D27	2020	May	27	50.27237	-125.37632	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-039	JSPe0039	fixed_position	D27	2020	May	27	50.27237	-125.37632	27-May-20	CJ	1000	Nov 9 2020	Rosie & Natalie	260	50	310
JSPe-040	JSPe0040	fixed_position	D27	2020	May	27	50.27237	-125.37632	27-May-20	CJ	1000	Nov 3 2020	Rosie and Rute	260	50	310
JSPe-041	JSPe0041	negative_control	D09	2020	June	2				CJ	1000	Nov 3 2020	Rosie and Rute	200	50	250
JSPe-042	JSPe0042	pre_seine	D09	2020	June	2	50.30685	-125.33098	02-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-043	JSPe0043	pre_seine	D09	2020	June	2	50.30685	-125.33098	02-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	250	50	300
JSPe-044	JSPe0044	pre_seine	D09	2020	June	2	50.30685	-125.33098	02-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	230	50	280
JSPe-045	JSPe0045	in_seine	D09	2020	June	2	50.30692	-125.33253	02-Jun-20	CJ	1000	Nov 9 2020	Rosie & Natalie	300	50	350
JSPe-046	JSPe0046	in_seine	D09	2020	June	2	50.30692	-125.33253	02-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-047	JSPe0047	in_seine	D09	2020	June	2	50.30692	-125.33253	02-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-048	JSPe0048	fixed_position	D09	2020	June	2	50.30735	-125.32963	02-Jun-20	CJ	1000	Nov 2 2020	Rosie and Rute	250	50	300
JSPe-049	JSPe0049	fixed_position	D09	2020	June	2	50.30735	-125.32963	02-Jun-20	CJ	1000	Nov 2 2020	Rosie and Rute	270	50	320
JSPe-050	JSPe0050	fixed_position	D09	2020	June	2	50.30735	-125.32963	02-Jun-20	CJ	1000	Nov 2 2020	Rosie and Rute	260	50	310
JSPe-051	JSPe0051	negative_control	D35	2020	June	5			05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-055	JSPe0055	pre_seine	D35	2020	June	5	50.45315	-125.252	05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	250	50	300
JSPe-056	JSPe0056	pre_seine	D35	2020	June	5	50.45315	-125.252	05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	250	50	300
JSPe-057	JSPe0057	pre_seine	D35	2020	June	5	50.45315	-125.252	05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-052	JSPe0052	in_seine	D35	2020	June	5	50.45285	-125.25068	05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	250	50	300
JSPe-053	JSPe0053	in_seine	D35	2020	June	5	50.45285	-125.25068	05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-054	JSPe0054	in_seine	D35	2020	June	5	50.45285	-125.25068	05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	240	50	290
JSPe-058	JSPe0058	fixed_position	D35	2020	June	5	50.45678	-125.2638	05-Jun-20	CJ	1000	Nov 2 2020	Rosie and Rute	250	50	300
JSPe-059	JSPe0059	fixed_position	D35	2020	June	5	50.45678	-125.2638	05-Jun-20	CJ	1000	Nov 3 2020	Rosie and Rute	260	50	310
JSPe-060	JSPe0060	fixed_position	D35	2020	June	5	50.45678	-125.2638	05-Jun-20	CJ	1000	Nov 2 2020	Rosie and Rute	260	50	310
JSPe-061	JSPe0061	negative_control	D09	2020	June	8			08-Jun-20	SV/ID	1000	Nov 2 2020	Rosie and Rute	250	50	300
