#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10	species	Metridia pacifica	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica	best hit
ASV100	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1000	species	Clytia gregaria	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gregaria	best hit
ASV10003	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV10004	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10005	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10007	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10008	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10009	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1001	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10011	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10012	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10013	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10014	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10015	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10018	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10019	species	Sagitta	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	unknown genus	Sagitta	lca
ASV1002	species	Clytia gregaria	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gregaria	best hit
ASV10023	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10024	species	Chaetozone	Eukaryota	Annelida	Polychaeta	Terebellida	Cirratulidae	unknown genus	Chaetozone	best hit
ASV10025	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10027	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1003	genus	Paraeuchaeta	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Euchaetidae	Paraeuchaeta	no identification	lca
ASV10030	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10031	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10032	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10034	species	Desmacella austini	Eukaryota	Porifera	Demospongiae	Desmacellida	Desmacellidae	Desmacella	Desmacella austini	best hit
ASV10036	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10039	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1004	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10040	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	lca
ASV10041	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10044	species	Dinophysis caudata	Eukaryota	Dinophyceae	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis caudata	best hit
ASV10045	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10046	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10047	class	Dinophyceae	Eukaryota	Dinophyceae	Dinophyceae	no identification	no identification	no identification	no identification	lca
ASV1005	species	Strongylocentrotus droebachiensis	Eukaryota	Echinodermata	Echinoidea	Camarodonta	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus droebachiensis	best hit
ASV10050	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10051	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10052	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10054	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10055	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10057	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV10058	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
