#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	lca
ASV10	species	Metridia pacifica	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica	lca
ASV100	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1000	species	Clytia gregaria	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gregaria	lca
ASV10003	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV10004	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10005	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10007	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10008	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10009	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV1001	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10011	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10012	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10013	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10014	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10015	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10018	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10019	species	Sagitta	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	unknown genus	Sagitta	lca
